GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Klojang Invoke,org.klojang.path,ArraySegmentWriter,9,53,2,6,1,14,2,4,0,2
Klojang Invoke,org.klojang.path,CollectionSegmentReader,28,44,7,3,5,9,5,2,0,2
Klojang Invoke,org.klojang.path,SegmentReader,0,18,0,2,0,7,0,3,0,2
Klojang Invoke,org.klojang.path,BeanSegmentReader,24,41,0,2,5,8,0,3,0,2
Klojang Invoke,org.klojang.path,ObjectWriter,4,150,2,16,2,31,2,10,0,3
Klojang Invoke,org.klojang.path,MapSegmentReader,15,43,0,6,3,9,0,5,0,2
Klojang Invoke,org.klojang.path,PathWalker,0,294,1,5,0,50,1,20,0,18
Klojang Invoke,org.klojang.path,MapSegmentWriter,7,42,0,2,1,13,0,3,0,2
Klojang Invoke,org.klojang.path,BeanSegmentWriter,22,52,1,1,4,14,1,2,0,2
Klojang Invoke,org.klojang.path,ObjectReader,8,106,1,13,2,18,1,9,0,3
Klojang Invoke,org.klojang.path,PrimitiveArraySegmentWriter,0,47,1,5,0,12,1,4,0,2
Klojang Invoke,org.klojang.path,PrimitiveArraySegmentReader,12,41,3,3,2,9,3,2,0,2
Klojang Invoke,org.klojang.path,ArraySegmentReader,6,41,1,3,1,8,1,3,0,2
Klojang Invoke,org.klojang.path,ListSegmentWriter,9,46,0,4,2,12,0,4,0,2
Klojang Invoke,org.klojang.path,SegmentWriter,0,18,0,2,0,7,0,3,0,2
Klojang Invoke,org.klojang.path,DeadEndException,0,437,0,2,0,56,0,26,0,25
Klojang Invoke,org.klojang.invoke,IncludeExclude,0,22,0,2,0,4,0,3,0,2
Klojang Invoke,org.klojang.invoke,Private,3,25,0,0,1,5,1,1,1,1
Klojang Invoke,org.klojang.invoke,AnyBeanReader,6,52,0,0,2,13,0,5,0,5
Klojang Invoke,org.klojang.invoke,NoPublicSettersException,0,6,0,0,0,2,0,1,0,1
Klojang Invoke,org.klojang.invoke,BeanReaderBuilder,56,259,18,14,11,50,15,13,1,11
Klojang Invoke,org.klojang.invoke,NoSuchPropertyException,2,35,1,1,1,7,1,3,0,3
Klojang Invoke,org.klojang.invoke,BeanWriter,21,472,8,42,4,98,13,34,5,17
Klojang Invoke,org.klojang.invoke,SetterFactory,45,185,5,21,7,34,6,16,1,8
Klojang Invoke,org.klojang.invoke,Getter,7,36,0,0,3,13,1,4,1,4
Klojang Invoke,org.klojang.invoke,Setter,4,61,0,4,2,19,0,7,0,5
Klojang Invoke,org.klojang.invoke,GetterFactory,63,255,20,36,12,49,20,17,2,7
Klojang Invoke,org.klojang.invoke,BeanReader,49,197,1,7,9,46,6,20,5,17
Klojang Invoke,org.klojang.invoke,NoPublicGettersException,6,0,0,0,2,0,1,0,1,0
Klojang Invoke,org.klojang.invoke,BeanValueTransformer,0,4,0,0,0,1,0,2,0,2
Klojang Invoke,org.klojang.invoke,IllegalAssignmentException,0,46,0,0,0,14,0,6,0,6
